"outcome","cvd_group","year","rate","stderr","lb","ub"
"noinsurance","Overall",2019,0.11674004114381,0.00334916212437668,0.110175804001646,0.123304278285974
"noinsurance","No ASCVD",2019,0.123219516325559,0.00355997833326131,0.116242087006624,0.130196945644494
"noinsurance","ASCVD",2019,0.0463614597146723,0.00503260124342288,0.036497742529012,0.0562251769003327
"noinsurance","Overall",2020,0.112674881907305,0.00450257097153374,0.103850004965263,0.121499758849346
"noinsurance","No ASCVD",2020,0.118796700471997,0.00480966051414408,0.10936993908641,0.128223461857584
"noinsurance","ASCVD",2020,0.0406996875757813,0.0072941438663529,0.0264034282996758,0.0549959468518867
"noinsurance","Overall",2021,0.0994711033381663,0.00306985683454838,0.0934542945047574,0.105487912171575
"noinsurance","No ASCVD",2021,0.104530812943986,0.00328747305174109,0.0980874841624278,0.110974141725545
"noinsurance","ASCVD",2021,0.0447039187691096,0.00539282064727286,0.0341341845253708,0.0552736530128484
"noinsurance","Overall",2022,0.0980705362743605,0.00323595424711551,0.0917281824943946,0.104412890054326
"noinsurance","No ASCVD",2022,0.103848919564203,0.00342180135670754,0.0971423121428055,0.1105555269856
"noinsurance","ASCVD",2022,0.0356133894399377,0.00472868604966336,0.0263453350884006,0.0448814437914749
"noinsurance","Overall",2023,0.0849516365554023,0.00274254940676135,0.0795763384923284,0.0903269346184762
"noinsurance","No ASCVD",2023,0.0902019172498499,0.0029641027395697,0.0843923826338168,0.096011451865883
"noinsurance","ASCVD",2023,0.0293140641007077,0.00409371149044247,0.0212905370163427,0.0373375911850727
"noinsurance","Overall",2024,0.0911366206392782,0.00267125470489541,0.08590105762415,0.0963721836544064
"noinsurance","No ASCVD",2024,0.0964364028940034,0.00286176535488961,0.0908274458662153,0.102045359921792
"noinsurance","ASCVD",2024,0.0344969807722615,0.00479877926202174,0.0250915462489412,0.0439024152955818
"badcarecost","Overall",2019,0.104969160474241,0.00260106461096708,0.0998711675152834,0.110067153433198
"badcarecost","No ASCVD",2019,0.103968008962382,0.00265212031126151,0.0987699486696423,0.109166069255122
"badcarecost","ASCVD",2019,0.115880806670866,0.00719316359506705,0.10178246508963,0.129979148252102
"badcarecost","Overall",2020,0.0902906379509155,0.0029678844716428,0.0844736912762199,0.096107584625611
"badcarecost","No ASCVD",2020,0.0910498169487561,0.003202805755722,0.0847724330180634,0.0973272008794488
"badcarecost","ASCVD",2020,0.0813712285743129,0.00851518295756036,0.0646817766557253,0.0980606804929004
"badcarecost","Overall",2021,0.0855983128891448,0.00221677621079176,0.0812535113542078,0.0899431144240818
"badcarecost","No ASCVD",2021,0.0851160784768066,0.00231904472763127,0.0805708343321118,0.0896613226215014
"badcarecost","ASCVD",2021,0.0908189849373594,0.006448371179992,0.078180409665629,0.10345756020909
"badcarecost","Overall",2022,0.0829331962599085,0.00229246473999309,0.0784400479336941,0.087426344586123
"badcarecost","No ASCVD",2022,0.0821139876338729,0.00232773205413291,0.0775517166421129,0.0866762586256328
"badcarecost","ASCVD",2022,0.091783648767107,0.00670722032951819,0.0786377384848765,0.104929559049338
"badcarecost","Overall",2023,0.0833849941246603,0.00228041739904602,0.0789154581528115,0.087854530096509
"badcarecost","No ASCVD",2023,0.0841569524296126,0.00239925001479293,0.0794545088107113,0.088859396048514
"badcarecost","ASCVD",2023,0.0751936464622225,0.00646764030079169,0.062517304407711,0.087869988516734
"badcarecost","Overall",2024,0.100197814704178,0.00233282539370596,0.095625560950294,0.104770068458062
"badcarecost","No ASCVD",2024,0.100421089260523,0.00245844639222658,0.0956026228738368,0.10523955564721
"badcarecost","ASCVD",2024,0.0978166850909774,0.00650589678259383,0.0850653617099585,0.110568008471996
"crn_barrier","Overall",2019,0.135137195996866,0.00324455657984008,0.128777981954577,0.141496410039155
"crn_barrier","No ASCVD",2019,0.133094854612571,0.003424137579363,0.126383668278909,0.139806040946232
"crn_barrier","ASCVD",2019,0.150315575229185,0.00833812213682677,0.133973156142308,0.166657994316062
"crn_barrier","Overall",2020,0.117929962997693,0.00374068733818247,0.11059835053743,0.125261575457955
"crn_barrier","No ASCVD",2020,0.116646527160775,0.00403534550436393,0.108737395307046,0.124555659014504
"crn_barrier","ASCVD",2020,0.12797332860568,0.0102713366959411,0.107841878608551,0.148104778602809
"crn_barrier","Overall",2021,0.0983959302020239,0.00273484760435238,0.0930357273942876,0.10375613300976
"crn_barrier","No ASCVD",2021,0.0943671953261338,0.00292121550122735,0.0886417181526481,0.10009267249962
"crn_barrier","ASCVD",2021,0.127578115699301,0.00805828984637285,0.111784157823426,0.143372073575177
"crn_barrier","Overall",2022,0.102723709577588,0.00286572257170576,0.0971069965473613,0.108340422607815
"crn_barrier","No ASCVD",2022,0.101024602489034,0.00307252052561135,0.0950025729170752,0.107046632060992
"crn_barrier","ASCVD",2022,0.115452357496919,0.00813445959483853,0.0995091096573396,0.131395605336499
"crn_barrier","Overall",2023,0.110529977318784,0.00277058178435756,0.10509973680522,0.115960217832347
"crn_barrier","No ASCVD",2023,0.1094526632684,0.00290522913208341,0.10375851880268,0.11514680773412
"crn_barrier","ASCVD",2023,0.118626110146021,0.00727793219137484,0.104361625169002,0.13289059512304
"crn_barrier","Overall",2024,0.117026005983433,0.00268778944875255,0.111758035465852,0.122293976501015
"crn_barrier","No ASCVD",2024,0.11591518367653,0.00286218785661119,0.110305398560584,0.121524968792476
"crn_barrier","ASCVD",2024,0.125517157332588,0.00727750412893159,0.11125351134254,0.139780803322635
"noplace","Overall",2019,0.105683682755024,0.00280033507662881,0.100195126860187,0.11117223864986
"noplace","No ASCVD",2019,0.112286722339067,0.00299708813490372,0.106412537536163,0.11816090714197
"noplace","ASCVD",2019,0.0337210313516791,0.00405881074745054,0.0257659084666119,0.0416761542367462
"noplace","Overall",2020,0.0996377029320467,0.00379169763319363,0.0922061121307214,0.107069293733372
"noplace","No ASCVD",2020,0.106356684167985,0.00406315386412339,0.0983930489306583,0.114320319405311
"noplace","ASCVD",2020,0.0207113060086627,0.00431127341290307,0.0122613653918677,0.0291612466254578
"noplace","Overall",2021,0.103886108974332,0.00273358399189124,0.0985283828015095,0.109243835147154
"noplace","No ASCVD",2021,0.110333350558753,0.00290122987527908,0.104647044492335,0.116019656625172
"noplace","ASCVD",2021,0.0341059318054485,0.00450323105796016,0.0252797611177844,0.0429321024931126
"noplace","Overall",2022,0.106966125375718,0.00311389274794754,0.10086300773802,0.113069243013415
"noplace","No ASCVD",2022,0.114064161052782,0.00334689419853905,0.10750436896358,0.120623953141985
"noplace","ASCVD",2022,0.0303389962705484,0.00371943538903752,0.0230490368652112,0.0376289556758857
"noplace","Overall",2023,0.105875226039628,0.0030081988049188,0.0999792647236503,0.111771187355605
"noplace","No ASCVD",2023,0.113078695722705,0.0032190568069282,0.106769460316937,0.119387931128473
"noplace","ASCVD",2023,0.0294177421686193,0.00373915481959429,0.0220891333895951,0.0367463509476435
"noplace","Overall",2024,0.097288959146598,0.00267713551217368,0.0920418699610043,0.102536048332192
"noplace","No ASCVD",2024,0.103327051377518,0.00288732859456797,0.0976679913206324,0.108986111434404
"noplace","ASCVD",2024,0.0329435226365955,0.00420464167029281,0.0247025763949253,0.0411844688782658
"novisit","Overall",2019,0.151502579874568,0.00295524178145266,0.145710412417313,0.157294747331823
"novisit","No ASCVD",2019,0.162489239359727,0.00318088044346638,0.156254828251405,0.168723650468049
"novisit","ASCVD",2019,0.0318679549263149,0.00392006879384746,0.0241847612734545,0.0395511485791753
"novisit","Overall",2020,0.165330291640048,0.00388078358157487,0.157724095588367,0.172936487691729
"novisit","No ASCVD",2020,0.176347238361499,0.00411863746322297,0.168274857268205,0.184419619454793
"novisit","ASCVD",2020,0.0359686560547645,0.00607050384904826,0.0240706871426182,0.0478666249669109
"novisit","Overall",2021,0.176914666043426,0.00307911174279194,0.17087971792318,0.182949614163673
"novisit","No ASCVD",2021,0.188621285673172,0.00332360155018382,0.18210714633585,0.195135425010494
"novisit","ASCVD",2021,0.0502597767633346,0.00528092885532034,0.0399093464019884,0.0606102071246808
"novisit","Overall",2022,0.166217933815017,0.00309075208774816,0.160160171037889,0.172275696592145
"novisit","No ASCVD",2022,0.178408384959061,0.00331088460039185,0.171919170385325,0.184897599532798
"novisit","ASCVD",2022,0.0347029398418362,0.00415578715555166,0.0265577466895408,0.0428481329941316
"novisit","Overall",2023,0.154836428084022,0.00291355345063392,0.149125968253747,0.160546887914297
"novisit","No ASCVD",2023,0.165554207930383,0.00314186172235444,0.159396272110163,0.171712143750603
"novisit","ASCVD",2023,0.041105232955051,0.00468057935200358,0.0319314659983421,0.0502789999117598
"novisit","Overall",2024,0.148613020025774,0.0028775120164994,0.142973200108354,0.154252839943194
"novisit","No ASCVD",2024,0.159401489005486,0.0030814704734541,0.153361917858092,0.165441060152879
"novisit","ASCVD",2024,0.0336423237835854,0.00373364064013633,0.0263245225977031,0.0409601249694677
"telehealth","Overall",2020,0.324834999035723,0.00494680716957031,0.315139435144901,0.334530562926546
"telehealth","No ASCVD",2020,0.311475551031566,0.00517976135236181,0.301323405332425,0.321627696730708
"telehealth","ASCVD",2020,0.480719981418424,0.0161272147048289,0.449111221426014,0.512328741410833
"telehealth","Overall",2021,0.370029343071417,0.00410535410243372,0.361982996886863,0.37807568925597
"telehealth","No ASCVD",2021,0.357137723311507,0.00423906149784888,0.348829315447473,0.365446131175541
"telehealth","ASCVD",2021,0.509946739904331,0.0111184849882616,0.488154909764689,0.531738570043973
"telehealth","Overall",2022,0.300886647267915,0.00434117728173198,0.292378096145217,0.309395198390614
"telehealth","No ASCVD",2022,0.291848445525021,0.00444205920989396,0.283142169456434,0.300554721593607
"telehealth","ASCVD",2022,0.398590836361783,0.010638989675703,0.377738799765512,0.419442872958055
"telehealth","Overall",2023,0.266753750633296,0.0038156919621439,0.259275131811395,0.274232369455197
"telehealth","No ASCVD",2023,0.262392921718631,0.00392428355520778,0.254701467285301,0.270084376151962
"telehealth","ASCVD",2023,0.313024318149572,0.0104557488934154,0.292531426887083,0.333517209412061
"telehealth","Overall",2024,0.250201179753531,0.00359639870567713,0.243152367816358,0.257249991690705
"telehealth","No ASCVD",2024,0.243979687721961,0.00368448379011045,0.236758232191722,0.251201143252199
"telehealth","ASCVD",2024,0.316598527405751,0.0104890013748154,0.296040462477321,0.33715659233418
